緯度,經度,案件編號,立案案號,事項
23.027843,120.205197, UN201601220310 , 併案 A-TB-2016-4393 , 環境髒亂 
23.027843,120.205197, UN201601220311 , 併案 A-TB-2016-4393 , 環境髒亂 
23.0125052,120.1992868, UN201601230126 , A-TB-2016-4531 , 市區道路路面油漬 
22.9618121,120.18897, UN201601230128 , A-TB-2016-4530 , 場所連續噪音 
23.0439087,120.3149277, UN201601230190 ,929158613, 道路散落物 
23.1902051,120.2489048, UN201601240051 , A-TB-2016-4680 , 路面油漬 
22.9738667,120.2439848, UN201601240239 , A-TB-2016-4773 , 路面油漬 
22.9941906,120.1872572, UN201601250026 , A-TB-2016-4830 , 道路散落物 
23.025924,120.1964949, UN201601250236 , A-TB-2016-4946 , 環境髒亂 
23.025924,120.1964949, UN201601250240 , 同A-TB-2016-4946 , 環境髒亂 
23.0007302,120.1532883, UN201601260034 , A-TB-2016-5006 , 環境髒亂 
23.0071987,120.2259211, UN201601270069 , A-TB-2016-5227 , 場所連續噪音 
23.0124133,120.1860273, UN201601270250 , A-TB-2016-5344 , 場所連續噪音 
22.9938691,120.2283408, UN201601270306 , A-TB-2016-5365 , 道路散落物 
22.987288,120.187023, UN201601290028 , A-TB-2016-5620 , 道路散落物 
23.0171085,120.193341, UN201601290261 , A-TB-2016-5733 , 路面油漬 
23.039774,120.272582, UN201601300333 , A-TB-2016-6002 , 道路散落物 
22.9651861,120.1919474, UN201601310035 , A-TB-2016-6023 , 佔用道路 
22.9651861,120.1919474, UN201601310096 , A-TB-2016-6054 , 其他汙染舉發 
22.9937249,120.157055, UN201601310188 , A-TB-2016-6119 , 其他汙染舉發 
23.0079083,120.2146654, UN201601310228 , A-TB-2016-6148 , 環境髒亂 
23.0154905,120.2208452, UN201601310229 , 併案 A-TB-2016-6148 , 環境髒亂 
23.0135082,120.2726979, UN201601310230 , 併案 A-TB-2016-6148 , 環境髒亂 
23.0135082,120.2726979, UN201601310231 , 併案 A-TB-2016-6148 , 環境髒亂 
23.0135082,120.2726979, UN201601310232 , 併案 A-TB-2016-6148 , 環境髒亂 
23.0172753,120.2054279, UN201601310269 , A-TB-2016-6174 , 小廣告旗幟 
23.0067753,120.2072401, UN201602010294 , A-TB-2016-6321 , 環境髒亂 
