緯度,經度,案件編號,立案案號
23.0414331,120.2425, UN201511080180 , A-TB-2015-61384 
22.9959244,120.2099312, UN201511080181 , A-TB-2015-61385 
22.9904503,120.2043085, UN201511080189 , A-TB-2015-61390 
22.9738287,120.2314593, UN201511080198 , A-TB-2015-61396 
22.9867747,120.1986997, UN201511080205 , A-TB-2015-61405 
23.0381337,120.1881309, UN201511080223 , A-TB-2015-61413 
22.9902319,120.175731, UN201511080230 , A-TB-2015-61417 
22.9933676,120.2094721, UN201511080239 , A-TB-2015-61422 
23.007923,120.221443, UN201511090015 , A-TB-2015-61439 
23.0016794,120.2350792, UN201511090044 , A-TB-2015-61449 
22.9836606,120.242251, UN201511090054 , A-TB-2015-61467 
22.9836606,120.242251, UN201511090062 , A-TB-2015-61470 
23.3172746,120.3162448, UN201511090114 , A-TB-2015-61488 
23.0109767,120.2262369, UN201511090120 , A-TB-2015-61484 
22.9789187,120.2221635, UN201511090129 , A-TB-2015-61485 
22.9986179,120.2294498, UN201511090132 , A-TB-2015-61492 
23.0413813,120.2391202, UN201511090139 , A-TB-2015-61494 
22.9958764,120.2108663, UN201511090142 , A-TB-2015-61493 
22.989164,120.1674576, UN201511090147 , A-TB-2015-61502 
22.992244,120.2108406, UN201511090148 , A-TB-2015-61504 
25.047894,121.559274, UN201511090191 , 台北市松山區光復南路13巷3-5號 
22.984732,120.211461, UN201511090199 , A-TB-2015-61541 
22.9969334,120.2842731, UN201511090203 , A-TB-2015-61542 
22.9805187,120.207189, UN201511090210 , A-TB-2015-61544 
23.0394245,120.2390574, UN201511090217 , A-TB-2015-61556 
22.9973015,120.2034257, UN201511090218 , A-TB-2015-61547 
22.9989242,120.238033, UN201511090225 , A-TB-2015-61558 
22.998364,120.1761441, UN201511090226 , A-TB-2015-61550 
23.003671,120.2136795, UN201511090242 , A-TB-2015-61578 
23.007923,120.221443, UN201511090248 , A-TB-2015-61553 
23.003671,120.2136795, UN201511090281 , A-TB-2015-61580 
22.9952058,120.2097062, UN201511090312 , A-TB-2015-61612 
22.9935971,120.207393, UN201511090318 , A-TB-2015-61618 
22.9891369,120.205783, UN201511090327 , A-TB-2015-61626 
22.9928752,120.2117543, UN201511090331 , A-TB-2015-61628 
23.0065424,120.2256254, UN201511090336 , A-TB-2015-61632 
22.9928752,120.2117543, UN201511090341 , A-TB-2015-61638 
22.9918871,120.19252, UN201511090351 , A-TB-2015-61640 
22.9961408,120.1714995, UN201511090358 , A-TB-2015-61644 
22.99568,120.2057441, UN201511090363 , A-TB-2015-61647 
22.9985898,120.1761175, UN201511090367 , A-TB-2015-61651 
23.0211573,120.2113207, UN201511090386 , A-TB-2015-61661 
22.971342,120.235285, UN201511100009 , 同A-TB-2015-61668 
23.007923,120.221443, UN201511100014 , A-TB-2015-61671 
23.0200417,120.2225937, UN201511100023 , A-TB-2015-61676 
22.9858584,120.2185361, UN201511100037 , A-TB-2015-61690 
22.9972946,120.1971875, UN201511100041 , A-TB-2015-61698 
23.0080706,120.2094701, UN201511100045 , A-TB-2015-61703 
22.9976603,120.2105929, UN201511100053 , A-TB-2015-61701 
22.9920332,120.2105536, UN201511100066 , A-TB-2015-61706 
22.9878812,120.2069068, UN201511100087 , A-TB-2015-61723 
23.023591,120.1968437, UN201511100102 , A-TB-2015-61728 
23.0016794,120.2350792, UN201511100107 , A-TB-2015-61730 
22.9916586,120.1849971, UN201511100119 , A-TB-2015-61746 
22.9916586,120.1849971, UN201511100121 , 同案件A-TB-2015-61746 
22.989164,120.1674576, UN201511100126 , A-TB-2015-61747 
22.9916869,120.2105063, UN201511100129 , A-TB-2015-61748 
22.989164,120.1674576, UN201511100138 , A-TB-2015-61753 
22.989164,120.1674576, UN201511100140 , 同案件A-TB-2015-61753 
22.989164,120.1674576, UN201511100141 , 同案件A-TB-2015-61753 
22.988405,120.182848, UN201511100142 , A-TB-2015-61755 
23.0389432,120.2393106, UN201511100144 , A-TB-2015-61756 
22.9942658,120.1977049, UN201511100148 , A-TB-2015-61757 
23.0389432,120.2393106, UN201511100158 , A-TB-2015-61769 
22.9930876,120.2091515, UN201511100174 , A-TB-2015-61771 
22.9970303,120.191531, UN201511100198 , A-TB-2015-61799 
22.9859458,120.2192141, UN201511100200 , A-TB-2015-61782 
22.9901453,120.1774737, UN201511100212 , A-TB-2015-61791 
22.9920085,120.1938093, UN201511100216 , A-TB-2015-61792 
25.048426,121.558084, UN201511100224 , Test1041110 
23.0019561,120.202331, UN201511100267 , 同案件A-TB-2015-61809 
22.9867747,120.1986997, UN201511100272 , A-TB-2015-61813 
22.9930876,120.2091515, UN201511100277 , A-TB-2015-61819 
23.1834869,120.259972, UN201511100279 , A-TB-2015-61823 
22.9920508,120.2106193, UN201511100299 , A-TB-2015-61841 
23.0160371,120.1992685, UN201511100314 , A-TB-2015-61850 
22.9952058,120.2097062, UN201511100319 , A-TB-2015-61852 
22.992244,120.2108406, UN201511100324 , A-TB-2015-61853 
22.992244,120.2108406, UN201511100326 , A-TB-2015-61853 
22.992347,120.2104214, UN201511100327 , A-TB-2015-61855 
23.0394245,120.2390574, UN201511100347 , A-TB-2015-61868 
23.0411981,120.2374701, UN201511100356 , A-TB-2015-61876 
23.0406897,120.1943905, UN201511110005 , A-TB-2015-61892 
23.0417415,120.1854908, UN201511110008 , A-TB-2015-61894 
23.0417415,120.1854908, UN201511110009 , 同案件 A-TB-2015-61894 
22.9910803,120.2105555, UN201511110011 , A-TB-2015-61895 
23.0376224,120.2423499, UN201511110016 , A-TB-2015-61898 
22.969718,120.228109, UN201511110025 , A-TB-2015-61904 
23.0190362,120.2575109, UN201511110092 , A-TB-2015-61948 
22.9597208,120.2885084, UN201511110093 , A-TB-2015-61947 
23.0389432,120.2393106, UN201511110100 , A-TB-2015-61957 
22.9930876,120.2091515, UN201511110112 , A-TB-2015-61968 
22.9915697,120.1991842, UN201511110121 , A-TB-2015-61974 
22.9924006,120.2028353, UN201511110122 , A-TB-2015-61993 
23.1829982,120.2516797, UN201511110141 , A-TB-2015-61987 
23.0109767,120.2262369, UN201511110149 , A-TB-2015-61989 
22.9942297,120.1973623, UN201511110157 , A-TB-2015-61999 
23.040167,120.23928, UN201511110174 , A-TB-2015-62005 
22.9744288,120.2236554, UN201511110177 , A-TB-2015-62003 
22.9961906,120.1707885, UN201511110184 , A-TB-2015-62010 
23.0072477,120.2319756, UN201511110185 , A-TB-2015-62013 
22.9801929,120.2283533, UN201511110190 , A-TB-2015-62029 
23.0399298,120.2398047, UN201511110191 , A-TB-2015-62020 
22.9911283,120.2330969, UN201511110205 , A-TB-2015-62031 
23.020946,120.245901, UN201511110218 , A-TB-2015-62048 
23.3336369,120.4588059, UN201511110225 , Test 
22.9952058,120.2097062, UN201511110230 , A-TB-2015-62055 
22.9862789,120.1954927, UN201511110251 , A-TB-2015-62064 
22.9945838,120.2093658, UN201511110253 , A-TB-2015-62097 
23.0045251,120.235006, UN201511110269 , A-TB-2015-62069 
22.9839161,120.226016, UN201511110271 , A-TB-2015-62079 
22.9900953,120.2065688, UN201511110275 , A-TB-2015-62077 
22.9770755,120.1885753, UN201511110276 , A-TB-2015-62076 
23.0111279,120.2049086, UN201511110286 , A-TB-2015-62096 
23.021577,120.2263252, UN201511110290 , A-TB-2015-62098 
22.9884594,120.2080528, UN201511110292 , A-TB-2015-62102 
22.9920332,120.2105536, UN201511110298 , A-TB-2015-62089 
22.9918871,120.19252, UN201511110299 , A-TB-2015-62088 
22.989164,120.1674576, UN201511110301 , A-TB-2015-62104 
22.9928605,120.210664, UN201511120031 , A-TB-2015-62128 
23.0389432,120.2393106, UN201511120089 , A-TB-2015-62159 
22.9884594,120.2080528, UN201511120106 , A-TB-2015-62154 
23.0068622,120.2101873, UN201511120112 , A-TB-2015-62157 
23.0010267,120.1837474, UN201511120127 , A-TB-2015-62168 
22.9857385,120.2001382, UN201511120137 , A-TB-2015-62172 
22.989164,120.1674576, UN201511120138 , A-TB-2015-62175 
22.9636615,120.2356241, UN201511120144 , A-TB-2015-62187 
23.3004564,120.3112148, UN201511120154 , A-TB-2015-62192 
23.0389432,120.2393106, UN201511120159 , A-TB-2015-62202 
22.991787,120.1937219, UN201511120164 , A-TB-2015-62203 
22.9868829,120.1984699, UN201511120174 , A-TB-2015-62207 
22.9871,120.197654, UN201511120184 , A-TB-2015-62212 
22.9903055,120.2429209, UN201511120193 , A-TB-2015-62216 
22.9858341,120.2044483, UN201511120198 , A-TB-2015-62226 
22.9863307,120.1976046, UN201511120236 , A-TB-2015-62261 
22.9928605,120.210664, UN201511120239 , A-TB-2015-62267 
22.9930876,120.2091515, UN201511120240 , A-TB-2015-62274 
23.003671,120.2136795, UN201511120244 , A-TB-2015-62276 
22.9822236,120.1973748, UN201511120245 , A-TB-2015-62277 
22.9987118,120.1696911, UN201511120247 , A-TB-2015-62280 
22.9935971,120.207393, UN201511120257 , A-TB-2015-62282 
23.0221249,120.224332, UN201511120263 , A-TB-2015-62284 
23.0115064,120.2263017, UN201511120267 , A-TB-2015-62298 
22.978261,120.206047, UN201511120268 , A-TB-2015-62290 
22.9884594,120.2080528, UN201511120270 , A-TB-2015-62291 
22.985213,120.1971797, UN201511120275 , A-TB-2015-62293 
23.019307,120.224348, UN201511120276 , A-TB-2015-62310 
22.981608,120.2301669, UN201511120287 , A-TB-2015-62307 
22.9930876,120.2091515, UN201511120288 , A-TB-2015-62296 
22.991971,120.215037, UN201511120291 , A-TB-2015-62297 
23.0122887,120.2050922, UN201511120301 , A-TB-2015-62308 
22.9924658,120.2011967, UN201511120302 , A-TB-2015-62304 
22.9943023,120.2333759, UN201511120314 , A-TB-2015-62314 
22.988954,120.236315, UN201511120316 , A-TB-2015-62313 
22.9986035,120.2259343, UN201511120322 , A-TB-2015-62322 
22.992244,120.2108406, UN201511130022 , A-TB-2015-62371 
22.999077,120.231056, UN201511130047 , A-TB-2015-62350 
22.992244,120.2108406, UN201511130071 , A-TB-2015-62374 
22.9210693,120.2247585, UN201511130076 , A-TB-2015-62373 
22.9927753,120.2326699, UN201511130119 , A-TB-2015-62406 
23.0079799,120.2268778, UN201511130126 , A-TB-2015-62417 
22.9884594,120.2080528, UN201511130132 , A-TB-2015-62414 
22.989164,120.1674576, UN201511130138 , A-TB-2015-62418 
22.9884594,120.2080528, UN201511130145 , A-TB-2015-62424 
22.9931018,120.1796, UN201511130150 , A-TB-2015-62426 
23.0645351,120.2944186, UN201511130155 , A-TB-2015-62432 
23.0070102,120.1997459, UN201511130162 , A-TB-2015-62436 
22.9845421,120.197943, UN201511130178 , A-TB-2015-62463 
23.0053925,120.2199987, UN201511130182 , A-TB-2015-62446 
22.9858341,120.2044483, UN201511130202 , A-TB-2015-62449 
23.0072477,120.2319756, UN201511130240 , A-TB-2015-62475 
22.9867747,120.1986997, UN201511130243 , A-TB-2015-62486 
22.9648583,120.2993725, UN201511130278 , A-TB-2015-62493 
22.9648583,120.2993725, UN201511130280 , A-TB-2015-62501 
22.9902319,120.175731, UN201511130281 , A-TB-2015-62504 
23.003671,120.2136795, UN201511130301 , A-TB-2015-62522 
23.0065385,120.2176736, UN201511130311 , A-TB-2015-62523 
22.9941906,120.1872572, UN201511130331 , A-TB-2015-62530 
22.9597208,120.2885084, UN201511130336 , A-TB-2015-62535 
22.971318,120.225487, UN201511130339 , A-TB-2015-62534 
22.9876943,120.2382528, UN201511130343 , A-TB-2015-62537 
23.0124826,120.2316018, UN201511130348 , A-TB-2015-62539 
22.997677,120.2110629, UN201511130359 , A-TB-2015-62546 
23.0280707,120.2524343, UN201511130360 , A-TB-2015-62545 
22.9991384,120.1875742, UN201511130364 , A-TB-2015-62550 
22.9873119,120.1987768, UN201511130370 , A-TB-2015-62552 
23.0007968,120.2363974, UN201511130372 , A-TB-2015-62560 
22.9966425,120.1969194, UN201511130375 , A-TB-2015-62557 
22.981961,120.2139822, UN201511130376 , A-TB-2015-62565 
22.9597208,120.2885084, UN201511130378 , A-TB-2015-62563 
22.99568,120.2057441, UN201511130380 , A-TB-2015-62568 
22.977126,120.228245, UN201511130383 , A-TB-2015-62570 
23.0114377,120.2085483, UN201511130384 , A-TB-2015-62573 
23.011334,120.2064019, UN201511130385 , A-TB-2015-62571 
23.011334,120.2064019, UN201511140001 , A-TB-2015-62580 
22.9802981,120.220048, UN201511140008 , A-TB-2015-62582 
22.985214,120.1972189, UN201511140011 , A-TB-2015-62583 
23.0079799,120.2268778, UN201511140022 , A-TB-2015-62591 
22.9882483,120.1747798, UN201511140043 , A-TB-2015-62604 
22.9944261,120.2107642, UN201511140048 , A-TB-2015-62613 
22.9917265,120.2026917, UN201511140067 , A-TB-2015-62618 
22.9721878,120.2469402, UN201511140070 , A-TB-2015-62621 
22.992244,120.2108406, UN201511140076 , A-TB-2015-62623 
22.9819245,120.2038727, UN201511140085 , A-TB-2015-62629 
22.9888302,120.2262627, UN201511140088 , A-TB-2015-62631 
22.9914277,120.1996644, UN201511140100 , A-TB-2015-62636 
22.9928752,120.2117543, UN201511140101 , A-TB-2015-62635 
23.0068925,120.2193318, UN201511140107 , A-TB-2015-62643 
22.9791296,120.2226612, UN201511140118 , A-TB-2015-62649 
22.9867747,120.1986997, UN201511140129 , A-TB-2015-62690 
22.9943864,120.1966841, UN201511140135 , A-TB-2015-62694 
22.9963974,120.2121536, UN201511140137 , A-TB-2015-62696 
22.9928535,120.287609, UN201511140141 , A-TB-2015-62662 
22.9995253,120.2091303, UN201511140154 , A-TB-2015-62701 
23.0389432,120.2393106, UN201511140169 , A-TB-2015-62673 
23.0027808,120.1576527, UN201511140172 , A-TB-2015-62674 
22.9989324,120.2123111, UN201511140177 , A-TB-2015-62675 
22.9920332,120.2105536, UN201511140178 , A-TB-2015-62679 
23.004741,120.2108167, UN201511140182 , A-TB-2015-62682 
23.004741,120.2108167, UN201511140183 , 同A-TB-2015-62682 
22.9890622,120.204325, UN201511140185 , A-TB-2015-62681 
22.9984711,120.2050813, UN201511140192 , A-TB-2015-62708 
22.9953679,120.1927552, UN201511140227 , A-TB-2015-62711 
22.9926461,120.2112704, UN201511140231 , A-TB-2015-62717 
22.9611243,120.2875713, UN201511140232 , A-TB-2015-62719 
22.9952058,120.2097062, UN201511140233 , A-TB-2015-62736 
22.9926798,120.1867878, UN201511140237 , A-TB-2015-62733 
23.0189545,120.2628467, UN201511140257 , A-TB-2015-62737 
22.9904919,120.2329276, UN201511140260 , A-TB-2015-62746 
23.0136903,120.2129133, UN201511150017 , A-TB-2015-62754 
23.003671,120.2136795, UN201511150027 , A-TB-2015-62762 
23.0107183,120.2035682, UN201511150029 , A-TB-2015-62763 
22.9920332,120.2105536, UN201511150032 , A-TB-2015-62766 
22.9788151,120.193584, UN201511150050 , A-TB-2015-62776 
22.9959021,120.2187063, UN201511150052 , A-TB-2015-62777 
22.9884594,120.2080528, UN201511150057 , A-TB-2015-62778 
22.9806175,120.2070963, UN201511150062 , A-TB-2015-62780 
22.9960999,120.2048385, UN201511150068 , A-TB-2015-62795 
22.9903734,120.1954407, UN201511150072 , A-TB-2015-62796 
22.9967745,120.1980371, UN201511150082 , A-TB-2015-62789 
22.9870794,120.2232439, UN201511150087 , A-TB-2015-62801 
23.007923,120.221443, UN201511150091 , A-TB-2015-62808 
23.0105938,120.2232788, UN201511150098 , A-TB-2015-62810 
22.9880468,120.2019038, UN201511150099 , A-TB-2015-62809 
22.9858584,120.2185361, UN201511150102 , A-TB-2015-62812 
22.9990543,120.210508, UN201511150106 , A-TB-2015-62813 
22.9880468,120.2019038, UN201511150115 , A-TB-2015-62815 
22.9972721,120.2034147, UN201511150117 , A-TB-2015-62821 
22.9920332,120.2105536, UN201511150121 , A-TB-2015-62818 
22.9924006,120.2028353, UN201511150123 , A-TB-2015-62819 
22.9952058,120.2097062, UN201511150133 , A-TB-2015-62825 
22.9723799,120.2149047, UN201511150154 , A-TB-2015-62835 
22.9858624,120.2042342, UN201511150156 , A-TB-2015-62838 
22.9903438,120.1908973, UN201511150160 , A-TB-2015-62841 
22.9634779,120.2328866, UN201511150166 , A-TB-2015-62842 
23.0010102,120.2129542, UN201511150173 , A-TB-2015-62844 
23.0006099,120.2000974, UN201511150183 , A-TB-2015-62849 
23.0006099,120.2000974, UN201511160006 , A-TB-2015-62852 
23.006501,120.2182567, UN201511160008 , A-TB-2015-62853 
23.0038268,120.2336801, UN201511160013 , A-TB-2015-62854 
22.9249849,120.2865972, UN201511160017 , A 
23.007923,120.221443, UN201511160035 , A-TB-2015-62859 
23.0113874,120.2242037, UN201511160041 , A-TB-2015-62862 
23.0133638,120.2294014, UN201511160043 , A-TB-2015-62864 
23.0645351,120.2944186, UN201511160085 , A-TB-2015-62899 
22.974384,120.231117, UN201511160097 , A-TB-2015-62901 
23.0645351,120.2944186, UN201511160109 , A-TB-2015-62904 
23.0031872,120.1867585, UN201511160118 , A-TB-2015-62913 
23.0109767,120.2262369, UN201511160121 , A-TB-2015-62915 
23.0394245,120.2390574, UN201511160123 , A-TB-2015-62917 
22.9927805,120.1985826, UN201511160137 , A-TB-2015-62920 
25.047894,121.559274, UN201511160152 , Test 
22.9977753,120.1993471, UN201511160154 , A-TB-2015-62931 
23.0113874,120.2242037, UN201511160161 , A-TB-2015-62934 
23.0337658,120.245643, UN201511160166 , A-TB-2015-62942 
23.040167,120.23928, UN201511160167 , A-TB-2015-62943 
22.9727655,120.2241003, UN201511160169 , A-TB-2015-62944 
23.0409533,120.2407158, UN201511160170 , A-TB-2015-62945 
22.955929,120.248049, UN201511160182 , A-TB-2015-62960 
22.9900953,120.2065688, UN201511160196 , A-TB-2015-62972 
23.0073786,120.2100089, UN201511160208 , A-TB-2015-62980 
23.0073786,120.2100089, UN201511160209 , A-TB-2015-62979 
23.0182827,120.2485851, UN201511160216 , 同A-TB-2015-62990 
23.0208505,120.2480101, UN201511160217 , A-TB-2015-62990 
22.9928456,120.2326104, UN201511160218 , A-TB-2015-62988 
23.0396415,120.2387527, UN201511160239 , A-TB-2015-63004 
23.0459149,120.2167735, UN201511160241 , A-TB-2015-63005 
22.9809333,120.2245229, UN201511160242 , A-TB-2015-63008 
23.0110111,120.2258413, UN201511160245 , A-TB-2015-63007 
23.003671,120.2136795, UN201511160256 , A-TB-2015-63015 
22.9918871,120.19252, UN201511160268 , A-TB-2015-63021 
22.9918871,120.19252, UN201511160269 , A-TB-2015-63021 
22.991575,120.192001, UN201511160275 , A-TB-2015-63030 
22.991575,120.192001, UN201511160276 , A-TB-2015-63030 
22.9985471,120.200283, UN201511160280 , A-TB-2015-63031 
22.9597208,120.2885084, UN201511160292 , A-TB-2015-63035 
22.9597208,120.2885084, UN201511160294 , A-TB-2015-63036 
22.9985471,120.200283, UN201511160298 , A-TB-2015-63038 
22.972106,120.2278693, UN201511160303 , A-TB-2015-63039 
23.0030019,120.2034306, UN201511160308 , A-TB-2015-63043 
22.9985471,120.200283, UN201511160311 , A-TB-2015-63046 
22.9918871,120.19252, UN201511160320 , A-TB-2015-63050 
22.9858584,120.2185361, UN201511160323 , A-TB-2015-63053 
22.9866903,120.1864499, UN201511160330 , A-TB-2015-63058 
22.9933229,120.2117281, UN201511160340 , A-TB-2015-63062 
22.9932498,120.2091667, UN201511160351 , A-TB-2015-63071 
22.9834403,120.2333529, UN201511160361 , A-TB-2015-63076 
23.0749048,120.2977215, UN201511170005 , A-TB-2015-63082 
22.9905213,120.2121276, UN201511170018 , a 
22.9920332,120.2105536, UN201511170021 , A-TB-2015-63090 
22.985213,120.1971797, UN201511170038 , A-TB-2015-63135 
22.9905213,120.2121276, UN201511170048 , 地址不明確錄案 
22.9950424,120.2298272, UN201511170051 , A-TB-2015-63140 
22.9998481,120.2353827, UN201511170072 , A-TB-2015-63173 
23.0208505,120.2480101, UN201511170078 , A-TB-2015-63109 
23.0221249,120.224332, UN201511170098 , A-TB-2015-63116 
22.9657166,120.2921422, UN201511170121 , A-TB-2015-63129 
22.9663302,120.2920441, UN201511170124 , A-TB-2015-63134 
22.9705595,120.2603389, UN201511170133 , A-TB-2015-63141 
23.0645351,120.2944186, UN201511170140 , A-TB-2015-63147 
23.0396415,120.2387527, UN201511170149 , A-TB-2015-63150 
22.989164,120.1674576, UN201511170154 , A-TB-2015-63158 
22.9920332,120.2105536, UN201511170157 , A-TB-2015-63164 
22.991932,120.192304, UN201511170178 , A-TB-2015-63180 
23.0233275,120.1901252, UN201511170205 , A-TB-2015-63193 
22.9933233,120.2030474, UN201511170207 , A-TB-2015-63195 
22.9966599,120.1705203, UN201511170236 , A-TB-2015-63211 
23.0032504,120.2212863, UN201511170238 , A-TB-2015-63206 
23.0383652,120.2406207, UN201511170270 , A-TB-2015-63237 
23.0221249,120.224332, UN201511170272 , A-TB-2015-63240 
23.014433,120.2173611, UN201511170281 , A-TB-2015-63246 
22.993104,120.2090726, UN201511170294 , A-TB-2015-63257 
22.993104,120.2090726, UN201511170318 , A-TB-2015-63265 
22.991748,120.1971399, UN201511170327 , A-TB-2015-63285 
23.0236741,120.222629, UN201511170332 , A-TB-2015-63267 
22.9934535,120.2093014, UN201511170367 , A-TB-2015-63290 
22.9934535,120.2093014, UN201511170370 , A-TB-2015-63295 
22.9948212,120.1964522, UN201511170372 , A-TB-2015-63299 
23.0114713,120.2086112, UN201511170378 , A-TB-2015-63301 
23.0137839,120.2038289, UN201511180001 , A-TB-2015-63307 
23.0038268,120.2336801, UN201511180011 , A-TB-2015-63311 
22.9864734,120.2164543, UN201511180020 , A-TB-2015-63360 
22.9920332,120.2105536, UN201511180031 , A-TB-2015-63320 
22.989435,120.2158037, UN201511180050 , A-TB-2015-63327 
23.0221249,120.224332, UN201511180081 , A-TB-2015-63340 
23.0772784,120.2875907, UN201511180083 , A-TB-2015-63339 
23.0396927,120.2389066, UN201511180104 , A-TB-2015-63355 
22.992478,120.2011322, UN201511180106 , A-TB-2015-63384 
23.0208505,120.2480101, UN201511180130 , A-TB-2015-63369 
23.004718,120.2095859, UN201511180135 , A-TB-2015-63373 
23.0038268,120.2336801, UN201511180139 , A-TB-2015-63377 
22.9972946,120.1971875, UN201511180144 , A-TB-2015-63388 
22.9920332,120.2105536, UN201511180147 , A-TB-2015-63378 
22.9928752,120.2117543, UN201511180148 , A-TB-2015-63379 
22.9971391,120.1730763, UN201511180152 , A-TB-2015-63376 
23.0400339,120.2400037, UN201511180158 , A-TB-2015-63382 
23.0645351,120.2944186, UN201511180161 , A-TB-2015-63386 
23.0645351,120.2944186, UN201511180162 , 同A-TB-2015-63386 
23.018852,120.227501, UN201511180179 , A-TB-2015-63393 
22.9858316,120.2383764, UN201511180192 , A-TB-2015-63400 
23.021577,120.2263252, UN201511180219 , A-TB-2015-63421 
23.039263,120.2395126, UN201511180223 , A-TB-2015-63422 
23.0082868,120.2216496, UN201511180244 , A-TB-2015-63446 
23.021454,120.2243756, UN201511180247 , A-TB-2015-63442 
22.9874217,120.2252497, UN201511180252 , A-TB-2015-63459 
22.988729,120.2043632, UN201511180260 , A-TB-2015-63461 
22.9995322,120.1645819, UN201511180269 , A-TB-2015-63475 
22.991924,120.192347, UN201511180271 , A-TB-2015-63462 
22.991924,120.192347, UN201511180272 , 
22.9936801,120.207395, UN201511180275 , A-TB-2015-63463 
23.0195814,120.2595493, UN201511180300 , A-TB-2015-63484 
22.9695467,120.1754213, UN201511180309 , A-TB-2015-63489 
22.9988797,120.2317146, UN201511180310 , A-TB-2015-63491 
23.0037991,120.2336762, UN201511180321 , A-TB-2015-63496 
22.9952058,120.2097062, UN201511180326 , A-TB-2015-63500 
22.9603111,120.288455, UN201511190014 , A-TB-2015-63520 
22.9603111,120.288455, UN201511190015 , 併案A-TB-2015-63520 
23.0023999,120.2044924, UN201511190022 , A-TB-2015-63522 
22.9884594,120.2080528, UN201511190038 , A-TB-2015-63525 
23.0057703,120.2625951, UN201511190041 , A-TB-2015-63555 
23.0133007,120.2140626, UN201511190043 , A-TB-2015-63527 
23.021577,120.2263252, UN201511190045 , A-TB-2015-63529 
23.0038268,120.2336801, UN201511190051 , A-TB-2015-63530 
23.0023227,120.2340165, UN201511190054 , A-TB-2015-63531 
23.039263,120.2395126, UN201511190078 , A-TB-2015-63537 
22.9920332,120.2105536, UN201511190086 , A-TB-2015-63545 
23.0032232,120.2333116, UN201511190099 , A-TB-2015-63561 
23.0208505,120.2480101, UN201511190116 , A-TB-2015-63566 
22.9884594,120.2080528, UN201511190126 , A-TB-2015-63574 
22.9933494,120.2083132, UN201511190133 , A-TB-2015-63579 
23.039263,120.2395126, UN201511190141 , A-TB-2015-63585 
22.9791559,120.2223946, UN201511190144 , A-TB-2015-63586 
23.0406767,120.2405424, UN201511190148 , A-TB-2015-63587 
22.9932613,120.2117242, UN201511190149 , A-TB-2015-63588 
23.0376224,120.2423499, UN201511190157 , A-TB-2015-63595 
23.0394295,120.2394684, UN201511190167 , A-TB-2015-63598 
22.9791559,120.2223946, UN201511190172 , A-TB-2015-63606 
22.9899421,120.2003505, UN201511190173 , A-TB-2015-63640 
23.0645351,120.2944186, UN201511190180 , A-TB-2015-63613 
22.9926131,120.2075047, UN201511190185 , A-TB-2015-63733 
22.966865,120.1916377, UN201511190187 , A-TB-2015-63622 
22.995544,120.199175, UN201511190190 , A-TB-2015-63624 
23.0221249,120.224332, UN201511190193 , A-TB-2015-63623 
23.0233275,120.1901252, UN201511190200 , A-TB-2015-63630 
23.039263,120.2395126, UN201511190202 , A-TB-2015-63631 
23.0007962,120.1998118, UN201511190226 , A-TB-2015-63700 
22.9985222,120.2381534, UN201511190232 , A-TB-2015-63674 
22.9884594,120.2080528, UN201511190254 , A-TB-2015-63710 
22.999719,120.2080321, UN201511190273 , A-TB-2015-63734 
22.9840123,120.2240699, UN201511190283 , A-TB-2015-63749 
22.9840123,120.2240699, UN201511190288 , 同A-TB-2015-63749 
22.9918871,120.19252, UN201511190290 , A-TB-2015-63755 
22.9918871,120.19252, UN201511190291 , 
22.9918781,120.192562, UN201511190293 , A-TB-2015-63750 
22.9952058,120.2097062, UN201511190309 , A-TB-2015-63767 
23.03952,120.2016, UN201511190311 , A-TB-2015-63765 
22.9952058,120.2097062, UN201511190312 , A-TB-2015-63766 
22.993104,120.2090726, UN201511190319 , A-TB-2015-63773 
22.9942164,120.2096377, UN201511190321 , A-TB-2015-63774 
22.9839161,120.226016, UN201511190326 , A-TB-2015-63777 
22.9952058,120.2097062, UN201511190345 , A-TB-2015-63787 
23.0101081,120.2105112, UN201511190352 , A-TB-2015-63791 
22.9703591,120.227391, UN201511200001 , A-TB-2015-63793 
23.0038268,120.2336801, UN201511200014 , A-TB-2015-63795 
22.9884594,120.2080528, UN201511200021 , A-TB-2015-63798 
22.9884594,120.2080528, UN201511200022 , A-TB-2015-63798 
22.9836614,120.213289, UN201511200025 , A-TB-2015-63802 
23.039263,120.2395126, UN201511200058 , A-TB-2015-63817 
23.0376224,120.2423499, UN201511200061 , A-TB-2015-63819 
22.9983148,120.211229, UN201511200079 , A-TB-2015-63837 
22.9920332,120.2105536, UN201511200090 , A-TB-2015-63834 
22.983739,120.199855, UN201511200102 , A-TB-2015-63843 
23.0396415,120.2387527, UN201511200118 , A-TB-2015-63854 
22.9998481,120.2353827, UN201511200123 , A-TB-2015-63855 
23.0038268,120.2336801, UN201511200124 , A-TB-2015-63857 
22.9884594,120.2080528, UN201511200127 , A-TB-2015-63859 
22.9927753,120.2326699, UN201511200139 , A-TB-2015-63867 
22.989164,120.1674576, UN201511200145 , A-TB-2015-63868 
22.9932164,120.1959807, UN201511200146 , A-TB-2015-63873 
22.9925487,120.2075508, UN201511200148 , A-TB-2015-63877 
22.9920524,120.1893325, UN201511200151 , A-TB-2015-63880 
22.9931284,120.208947, UN201511200152 , A-TB-2015-63874 
23.0396415,120.2387527, UN201511200163 , A-TB-2015-63882 
