緯度,經度,案件編號,立案案號
23.003269,120.221102, UN201504210145 , A-TB-2015-17787 
22.9858341,120.2044483, UN201504210184 , A-TB-2015-17814 
22.9993575,120.1981748, UN201504210192 , A-TB-2015-17826 
22.9863488,120.186681, UN201504210195 , A-TB-2015-17829 
22.9952058,120.2097062, UN201504210199 , A-TB-2015-17838 
22.9912175,120.1849751, UN201504210201 , A-TB-2015-17822 
23.0438046,120.1904012, UN201504210224 , A-TB-2015-17835 
22.9937361,120.181802, UN201504210233 , A-TB-2015-17837 
22.9951564,120.1967553, UN201504210234 , A-TB-2015-17844 
22.9914679,120.1996507, UN201504210239 , A-TB-2015-17847 
22.9894166,120.2022548, UN201504210263 , A-TB-2015-17862 
22.9848031,120.2032338, UN201504210264 , A-TB-2015-17864 
22.9933412,120.2100138, UN201504210265 , A-TB-2015-17866 
22.9730133,120.2121175, UN201504210327 , A-TB-2015-17929 
23.0032504,120.2212863, UN201504220005 , A-TB-2015-17945 
22.9993575,120.1981748, UN201504220077 , A-TB-2015-17985 
22.9826998,120.2082003, UN201504220110 , A-TB-2015-18005 
22.9884594,120.2080528, UN201504220112 , A-TB-2015-18008 
22.9989172,120.2161253, UN201504220127 , A-TB-2015-18015 
22.9904919,120.2329276, UN201504220139 , A-TB-2015-18019 
23.0412806,120.2388632, UN201504220145 , A-TB-2015-18020 
23.0031294,120.1980908, UN201504220170 , A-TB-2015-18033 
22.9914679,120.1996507, UN201504220194 , A-TB-2015-18063 
22.9890622,120.204325, UN201504220208 , A-TB-2015-18069 
23.013398,120.2301071, UN201504220213 , A-TB-2015-18072 
22.9676862,120.2917401, UN201504220216 , A-TB-2015-18075 
22.9927945,120.2265932, UN201504220242 , A-TB-2015-18091 
23.0100556,120.2079485, UN201504220280 , A-TB-2015-18107 
22.9967909,120.1973129, UN201504220294 , A-TB-2015-18115 
23.0499843,120.1727521, UN201504220310 , A-TB-2015-18126 
23.0066746,120.2102373, UN201504220313 , A-TB-2015-18127 
22.98133,120.2224227, UN201504220327 , A-TB-2015-18135 
22.9961922,120.1789252, UN201504230017 , A-TB-2015-18151 
23.0259331,120.2559899, UN201504230031 , A-TB-2015-18153 
22.918979,120.2271812, UN201504230043 , A-TB-2015-18200 
22.9972946,120.1971875, UN201504230059 , A-TB-2015-18260 
22.9974301,120.1954156, UN201504230067 , A-TB-2015-18188 
22.978227,120.2213454, UN201504230110 , A-TB-2015-18240 
22.9897717,120.1944321, UN201504230123 , A-TB-2015-18198 
22.9971831,120.2125774, UN201504230132 , A-TB-2015-18217 
