Id,Address,Latitude,Longitude,Time,Deaths_and_Injuries,Vehicles
14796,臺南市東區小東區成大成功校校區大門,22.98042000000 ,120.22386000000 ,106年10月28日 09時25分00秒,死亡0;受傷1,普通重型-機車;自用-小客車
14797,臺南市東區榮譽街84巷111-7號,22.97361363198 ,120.21736597392 ,106年10月28日 09時59分51秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車
14798,臺南市東區裕信路南側,22.97669705036 ,120.24478990648 ,106年10月28日 10時27分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14799,臺南市永康區安康里中山南路東側,23.01340004386 ,120.23042994893 ,106年10月28日 10時48分17秒,死亡0;受傷1,自用-小客車;普通重型-機車
14800,臺南市永康區安康里中山南路南側,23.01340004386 ,120.23042994893 ,106年10月28日 11時15分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14801,臺南市東區裕敬路308號北側,22.97981847793 ,120.24462650291 ,106年10月28日 11時56分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14802,臺南市東區勝利路145號南側,22.99513632001 ,120.21806038966 ,106年10月28日 12時37分00秒,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車
14803,臺南市東區勝利路西側,23.00021164543 ,120.21848791844 ,106年10月28日 13時15分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14804,臺南市東區中華東路三段162號西側,22.97797127644 ,120.22652573299 ,106年10月28日 13時38分00秒,死亡0;受傷2,普通重型-機車;自用-小客車;自用-小客車
14805,臺南市東區裕信路北側,22.97669705036 ,120.24478990648 ,106年10月28日 15時13分29秒,死亡0;受傷1,自用-小客車;普通重型-機車
14806,臺南市南區新和東路127號,22.96104000000 ,120.18890000000 ,106年10月28日 15時20分00秒,死亡0;受傷1,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
14807,臺南市安南區安中路一段787號,23.04408881958 ,120.19372427962 ,106年10月28日 15時58分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車
14808,臺南市東區長榮路三段成功校區停車場出入口,22.99631192210 ,120.22193627590 ,106年10月28日 16時10分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14809,臺南市東區自由路三段北側,22.97774229957 ,120.23767564978 ,106年10月28日 17時21分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14810,臺南市東區裕豐街東側,22.98785603744 ,120.22728225702 ,106年10月28日 18時03分45秒,死亡0;受傷2,普通重型-機車;普通輕型-機車
14811,臺南市永康區西橋里大橋三街南側,23.01437000000 ,120.22751000000 ,106年10月28日 19時43分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車
14812,臺南市安南區長溪路3段435號西側,23.06857801803 ,120.19571696711 ,106年10月28日 20時13分40秒,死亡0;受傷1,計程車-小客車;普通重型-機車
14813,臺南市東區富農街一段北側,22.97860010334 ,120.23387986701 ,106年10月29日 07時40分28秒,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人
14814,臺南市新市區南科南路與環西路一段,23.09069700000 ,120.28245300000 ,106年10月29日 07時45分11秒,死亡0;受傷1,自用-小客車;普通重型-機車
14815,臺南市東區東門陸橋機車行地下道內,22.98829301659 ,120.21348361387 ,106年10月29日 08時10分00秒,死亡0;受傷1,普通輕型-機車
14816,臺南市南區慶南街西側,22.97643997407 ,120.18986027490 ,106年10月29日 12時20分16秒,死亡0;受傷2,普通輕型-機車;普通重型-機車
14817,臺南市東區裕農路446巷11號前,22.98762900000 ,120.23178888733 ,106年10月29日 15時48分00秒,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車
14818,臺南市東區崇善東路103號南側,22.96984391035 ,120.23356614210 ,106年10月29日 18時42分00秒,死亡0;受傷1,普通重型-機車;自用-小客車
14819,臺南市永康區自強路東側,23.02388550000 ,120.24542475000 ,106年10月29日 19時27分30秒,死亡0;受傷1,自用-小客車;普通重型-機車
14820,臺南市東區崇明路南側,22.97574030044 ,120.22181308658 ,106年10月29日 21時06分04秒,死亡0;受傷1,普通重型-機車
14821,臺南市永康區復興里小東路南側,22.99962000000 ,120.24002000000 ,106年10月30日 00時15分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人
14822,臺南市安南區府安路五段北側,23.02243771953 ,120.19734625207 ,106年10月30日 08時33分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14823,臺南市東區仁和路108之1號,22.97214123674 ,120.23255483207 ,106年10月30日 09時40分42秒,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人
14824,臺南市南區德興路東側,22.96592377250 ,120.19215639358 ,106年10月30日 10時15分56秒,死亡0;受傷1,自用-小客車;普通重型-機車
14825,臺南市東區東興路296巷26號前,22.99591471106 ,120.23074537025 ,106年10月30日 11時30分00秒,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人
14826,臺南市東區仁和路北側,22.96544221938 ,120.23672219516 ,106年10月30日 12時13分31秒,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人
14827,臺南市佳里區公園路西側,23.16759300000 ,120.17442600000 ,106年10月30日 12時31分46秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14828,臺南市東區長榮路二段53號,22.98978041855 ,120.22017729127 ,106年10月30日 14時40分32秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14829,臺南市東區東安路92巷51號,22.99292227783 ,120.22748248765 ,106年10月30日 17時52分51秒,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用)
14830,臺南市新市區南科二路(路燈編號:08-03-17)附近,23.09653445796 ,120.28635951887 ,106年10月30日 18時50分48秒,死亡0;受傷1,普通重型-機車;自用-小客車
14831,臺南市東區東平路與莊敬路口,22.99488300000 ,120.23282700000 ,106年10月30日 19時04分00秒,死亡0;受傷4,普通重型-機車;普通重型-機車;乘客-人;乘客-人
14832,臺南市新市區大順五路南側,23.10264012440 ,120.28864935749 ,106年10月30日 20時08分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14833,臺南市新市區大利一路直得公司前。,23.10835500000 ,120.27951000000 ,106年10月31日 08時45分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14834,臺南市南區明興路1398巷口,22.92165578351 ,120.18458883430 ,106年10月31日 09時00分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14835,臺南市安定區國道8號 4公里200.0公尺處東,23.12176000000 ,120.23727000000 ,106年10月31日 14時59分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車
14836,臺南市東區林森路一段362號,22.98438818674 ,120.22121981300 ,106年10月31日 16時22分33秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車
14837,臺南市東區勝利路與懷恩街口,22.98946500000 ,120.21762150000 ,106年10月31日 21時24分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14838,臺南市白河區永安里三民路與新生路口,23.34487000000 ,120.40657000000 ,106年11月01日 05時40分47秒,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車
14839,臺南市安定區中沙里台19線(中崙30-2號附近)路段,23.07401000000 ,120.20843000000 ,106年11月01日 05時53分00秒,死亡0;受傷2,自用-小客車;自用-小貨車(含客、貨兩用)
14840,臺南市新營區忠政里中正路東側,23.30844288727 ,120.31613849530 ,106年11月01日 06時03分00秒,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人
14841,臺南市永康區文賢街80之1號前0.0公尺,23.00607823536 ,120.27154708870 ,106年11月01日 06時30分00秒,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車
14842,臺南市新營區埤寮里中正路北側,23.32514905658 ,120.31614384359 ,106年11月01日 06時31分00秒,死亡0;受傷1,自用-小客車;腳踏自行車-慢車
14843,臺南市永康區勝利里勝華街西側,23.00649300000 ,120.23340075000 ,106年11月01日 06時43分00秒,死亡0;受傷1,普通重型-機車;自用-小客車
14844,臺南市善化區文昌里目加溜灣大道路口,23.11889602594 ,120.29428271423 ,106年11月01日 06時44分29秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14845,臺南市新市區三舍里台19甲線(159-40號附近)路口,-1.00000000000 ,-1.00000000000 ,106年11月01日 07時00分21秒,死亡0;受傷1,計程車-小客車;普通重型-機車
14846,臺南市麻豆區小埤里苓子林17-14號,23.18457776969 ,120.23464373091 ,106年11月01日 07時29分00秒,死亡0;受傷1,普通重型-機車;自用-小客車;自用-小客車
